Date,Amount,Purpose,Campaign Name,Payee Name,cpf_payee_info_address,city_name,state_abbreviation,zip_code,Campaign Type,Race,District Number,,,,
1/2/2015,5,Internet bill pay,Anna Jones For City Council,1st Bank, 1617 East Colfax Avenue,Denver,CO,80218,Candidate,District Councilmember,Council District 10,,,,
1/3/2012,2000,contribution,Denver Firefighters Local 858 PAC,Dennis Gallagher for Auditor,4849 W. 32nd Avenue,Denver,CO,80212,PAC,,,,,,
1/3/2012,35,Membership,Charlie Brown for City Council,National Audobon Society,225 Varick Street,New York,NY,10014,Candidate,District Councilmember,Council District 6,,,,
1/3/2012,25,Credit Card Processing Fee,Hancock for Denver,First Data Corp.,5565 Glenridge Connector NE #2000,Atlanta,GA,30342,Candidate,Mayor,,,,,
1/3/2012,40.23,Online Credit Card Fees,Mejia for Mayor,First Data Merchant Services Corporation,5565 Glenridge Connector NE,Atlanta,GA,30342,Candidate,Mayor,,,,,
1/3/2012,25,Online Credit Card Fees,Mejia for Mayor,First Data Merchant Services Corporation,5565 Glenridge Connector NE,Atlanta,GA,30342,Candidate,Mayor,,,,,
1/3/2012,500,Fundraising Consulting,Mejia for Mayor,3PG Consulting, LLC,P.O. Box 181914,Denver,CO,80218,Candidate,Mayor,,,,
1/3/2013,863.03,Breakfast Meeting,Denver County Republican Central Committee,Inn at Cherry Creek,233 Clayton Ave,Denver,CO,80206,PAC,,,,,,
1/3/2013,94.06,Credit Card Processing Fees,Hancock for Denver,First Data Corp.,5565 Glenridge Connector NE #2000,Atlanta,GA,30342,Candidate,Mayor,,,,,
1/3/2013,25,Online Credit Card Fees,Mejia for Mayor,First Data Merchant Services Corporation,5565 Glenridge Connector NE,Atlanta,GA,30342,Candidate,Mayor,,,,,
1/3/2014,40,MMJ issue,Charlie Brown for City Council,The Tavern,1000 South Gaylord,Denver,CO,80209,Candidate,District Councilmember,Council District 6,,,,
1/3/2014,559.02,Credit Card Processing Fee,Hancock for Denver,First Data Corp.,5565 Glenridge Connector NE #2000,Atlanta,GA,30342,Candidate,Mayor,,,,,
1/3/2014,534.38,Credit Card Processing Fee,Hancock for Denver,First Data Corp.,5565 Glenridge Connector NE #2000,Atlanta,GA,30342,Candidate,Mayor,,,,,
1/3/2014,800,Consulting,Kniech for Council At-Large,Derrington Consulting,1033 Downing St #110,Denver,CO,80218,Candidate,Council-At-Large,,,,,
1/3/2014,38.99,Manual checks,The Committee to Elect Michael Borcherding,Wells Fargo Bank,1601 Blake Street  #105,Denver,CO,80202,Candidate,District Councilmember,Council District 9,,,,
1/3/2014,1,Parking,Nevitt for Auditor,Public Works,201 W Colfax Ave,Denver,CO,80205,Candidate,Auditor,,,,,
1/4/2012,200,Mailing services,Linkhart for Mayor,Blue Utopia,PO Box 4486 ,Seattle,WA,98194,Candidate,Mayor,,,,,
1/4/2012,750,Campaign Literature,Mejia for Mayor,The Baughman Company,122 C Street, NW, Suite 240,Washington,DC,20001,Candidate,Mayor,,,
1/4/2012,500,Campaign Software,Mejia for Mayor,NGP VAN, Inc.,1101 15th Street, NW, Suite 500,Washington,DC,20005,Candidate,Mayor,,
1/4/2012,750,Research,Mejia for Mayor,Lake Research Partners,1726 M Street, NW, Suite 1100,Washington,DC,20036,Candidate,Mayor,,,
1/4/2012,1000,Voter Contact,Mejia for Mayor,Rocky Mountain Voter Outreach,899 Logan Street, Suite B-15,Denver,CO,80203,Candidate,Mayor,,,,
1/4/2012,1000,Ad Production,Mejia for Mayor,Citizen Pictures,2800 Speer Blvd,Denver,CO,80211,Candidate,Mayor,,,,,
